parti;groupe;
Fédération des gaullistes de progrès;Indépendant/micro-partis;
Tahoeraa Huiraatira;Indépendant/micro-partis;
Mouvement social démocrate polynésien;Indépendant/micro-partis;
Union des libéraux indépendants;Indépendant/micro-partis;
gaulliste de rassemblement et d'union pour la 5e République;Indépendant/micro-partis;
Alternative pour une démocratie sociale;Indépendant/micro-partis;
Groupe chrétien démocrate;Indépendant/micro-partis;
Mouvement social-démocrate;Indépendant/micro-partis;
Centre des démocrates de progrès;Indépendant/micro-partis;
Fédération pour une nouvelle société calédonienne;Indépendant/micro-partis;
Faatereraa tiama o polinesia maohi;Indépendant/micro-partis;
Taatiraa Polynesia Entente polynésienne;Indépendant/micro-partis;
Association des démocrates;Indépendant/micro-partis;
centre droit;Indépendant/micro-partis;
Fédération nationale des indépendants;Indépendant/micro-partis;
Mouvement des libéraux de progrès;Indépendant/micro-partis;
social;Indépendant/micro-partis;
socialistes indépendants;Indépendant/micro-partis;
Socialistes humanistes;Indépendant/micro-partis;
Mouvement travail patrie;Indépendant/micro-partis;
Parti national démocrate;Indépendant/micro-partis;
Entente populaire indépendante;Indépendant/micro-partis;
Union centriste républicaine;Indépendant/micro-partis;
Front travailliste;Indépendant/micro-partis;
Républicain populaire;Indépendant/micro-partis;
Républicain indépendant social;Indépendant/micro-partis;
Démocrate Ve République;Indépendant/micro-partis;
Démocrate Ve;Indépendant/micro-partis;
Mouvement femme avenir Centre féminin d'études et d'informations;Indépendant/micro-partis;
apolitiques;Indépendant/micro-partis;
autogestionnaire;Indépendant/micro-partis;
Union des vieux de France;Indépendant/micro-partis;
Fédération des oeuvres laïques;Indépendant/micro-partis;
Mouvement européen;Indépendant/micro-partis;
Centre indépendant;Indépendant/micro-partis;
Ligue communiste section de la quatrième internationale;Indépendant/micro-partis;
Cercle liberté et humanisme;Indépendant/micro-partis;
Verts associatifs;Indépendant/micro-partis;
Rassemblement pour l'Europe fédérale;Indépendant/micro-partis;
Parti occitan;Indépendant/micro-partis;
Génération verte;Indépendant/micro-partis;
France plus;Indépendant/micro-partis;
Mouvement national progrès et liberté;Indépendant/micro-partis;
radical-socialiste;Indépendant/micro-partis;
Union centriste des démocrates de progrès;Indépendant/micro-partis;
